date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-04-13,Kyle Schwarber,0.332,205,True,20.5
2026-04-13,Aaron Judge,0.375,174,True,17.4
2026-04-13,Shohei Ohtani,0.288,270,False,-10.0
2026-04-14,Gunnar Henderson,0.253,330,False,-10.0
2026-04-14,Kyle Schwarber,0.327,210,False,-10.0
2026-04-14,Rafael Devers,0.263,295,False,-10.0
2026-04-14,Aaron Judge,0.38,175,False,-10.0
2026-04-14,Jordan Walker,0.272,295,False,-10.0
2026-04-14,Yordan Alvarez,0.282,260,False,-10.0
2026-04-14,Shohei Ohtani,0.289,250,False,-10.0
2026-04-15,Pete Alonso,0.259,360,False,-10.0
2026-04-15,Jordan Walker,0.267,305,False,-10.0
2026-04-15,Kyle Schwarber,0.325,210,False,-10.0
2026-04-15,Rafael Devers,0.273,290,False,-10.0
2026-04-15,Aaron Judge,0.338,200,True,20.0
2026-04-15,Junior Caminero,0.286,260,True,26.0
2026-04-15,Nick Kurtz,0.266,290,False,-10.0
2026-04-15,Cal Raleigh,0.257,305,False,-10.0
2026-04-16,Aaron Judge,0.4,150,True,15.0
2026-04-16,Junior Caminero,0.263,300,True,30.0
2026-04-16,Yordan Alvarez,0.283,255,False,-10.0
2026-04-16,Cal Raleigh,0.285,255,False,-10.0
2026-04-17,Kyle Schwarber,0.277,265,False,-10.0
2026-04-17,Aaron Judge,0.333,205,False,-10.0
2026-04-17,Byron Buxton,0.257,305,False,-10.0
2026-04-17,Yordan Alvarez,0.263,305,True,30.5
2026-04-17,Shohei Ohtani,0.344,200,False,-10.0
2026-04-17,Mike Trout,0.268,285,False,-10.0
2026-04-17,Shea Langeliers,0.279,265,False,-10.0
2026-04-18,Aaron Judge,0.329,205,False,-10.0
2026-04-18,Cal Raleigh,0.264,300,False,-10.0
2026-04-18,Shohei Ohtani,0.329,205,False,-10.0
2026-04-18,Mike Trout,0.29,260,False,-10.0
2026-04-19,Aaron Judge,0.289,255,True,25.5
2026-04-19,Yordan Alvarez,0.254,300,True,30.0
2026-04-19,Shohei Ohtani,0.362,200,False,-10.0
2026-04-19,Shea Langeliers,0.253,305,False,-10.0
2026-04-19,Mike Trout,0.256,340,False,-10.0
2026-04-19,Kyle Schwarber,0.261,310,True,31.0
2026-04-20,Kyle Schwarber,0.289,250,False,-10.0
2026-04-20,Shohei Ohtani,0.336,200,False,-10.0
2026-04-20,Nick Kurtz,0.25,320,True,32.0
2026-04-21,Aaron Judge,0.286,260,False,-10.0
2026-04-21,Kyle Schwarber,0.283,255,True,25.5
2026-04-21,Cal Raleigh,0.254,305,True,30.5
2026-04-22,Yordan Alvarez,0.25,305,True,30.5
2026-04-22,Mike Trout,0.259,300,True,30.0
2026-04-22,Cal Raleigh,0.267,300,True,30.0
2026-04-22,Ronald Acuna Jr.,0.254,300,False,-10.0
2026-04-22,Aaron Judge,0.282,280,False,-10.0
2026-04-22,Ramon Laureano,0.268,285,False,-10.0
2026-04-22,Shohei Ohtani,0.285,255,False,-10.0
2026-04-23,Kyle Schwarber,0.318,240,False,-10.0
2026-04-23,Shohei Ohtani,0.263,300,False,-10.0
2026-04-23,Aaron Judge,0.287,255,False,-10.0
2026-04-23,Juan Soto,0.265,290,False,-10.0
2026-04-24,Sal Stewart,0.267,290,False,-10.0
2026-04-24,Kyle Schwarber,0.261,300,False,-10.0
2026-04-24,Munetaka Murakami,0.308,255,True,25.5
2026-04-24,Oneil Cruz,0.263,320,False,-10.0
2026-04-24,Nick Kurtz,0.26,300,True,30.0
2026-04-24,Aaron Judge,0.333,205,False,-10.0
2026-04-24,Shohei Ohtani,0.346,200,False,-10.0
2026-04-25,Cal Raleigh,0.256,305,False,-10.0
2026-04-25,Munetaka Murakami,0.294,295,False,-10.0
2026-04-25,Junior Caminero,0.3,250,False,-10.0
2026-04-25,Ketel Marte,0.372,180,False,-10.0
2026-04-25,Aaron Judge,0.336,200,False,-10.0
2026-04-25,Kyle Schwarber,0.295,265,False,-10.0
2026-04-25,Shohei Ohtani,0.381,169,False,-10.0
2026-04-25,Riley Greene,0.271,280,False,-10.0
2026-04-26,Matt Olson,0.257,300,True,30.0
2026-04-26,Kerry Carpenter,0.282,260,False,-10.0
2026-04-26,Junior Caminero,0.289,255,False,-10.0
2026-04-26,Munetaka Murakami,0.264,290,False,-10.0
2026-04-26,Aaron Judge,0.324,215,True,21.5
2026-04-26,Cal Raleigh,0.302,235,True,23.5
2026-04-26,Nick Kurtz,0.292,255,False,-10.0
2026-04-26,Ketel Marte,0.327,215,False,-10.0
2026-04-26,Shohei Ohtani,0.337,205,True,20.5
2026-04-27,Munetaka Murakami,0.289,275,True,27.5
2026-04-27,Cal Raleigh,0.252,305,True,30.5
2026-04-27,Aaron Judge,0.307,260,True,26.0
2026-04-27,Shohei Ohtani,0.349,200,False,-10.0
2026-04-28,Yordan Alvarez,0.301,235,False,-10.0
2026-04-28,Sal Stewart,0.284,255,False,-10.0
2026-04-28,Kyle Schwarber,0.309,225,False,-10.0
2026-04-28,Juan Soto,0.27,280,True,28.0
2026-04-28,Cal Raleigh,0.283,255,False,-10.0
2026-04-28,Aaron Judge,0.284,255,True,25.5
2026-04-28,Max Muncy,0.252,320,False,-10.0
2026-04-29,Cal Raleigh,0.253,300,False,-10.0
2026-04-29,Aaron Judge,0.301,240,False,-10.0
2026-04-29,Shohei Ohtani,0.345,200,False,-10.0
2026-04-29,Hunter Goodman,0.31,225,True,22.5
2026-04-29,Kerry Carpenter,0.25,300,False,-10.0
2026-04-29,Nick Kurtz,0.284,280,False,-10.0
2026-04-30,Yordan Alvarez,0.299,265,True,26.5
2026-04-30,Hunter Goodman,0.262,325,False,-10.0
2026-04-30,Juan Soto,0.256,340,False,-10.0
2026-04-30,Shea Langeliers,0.26,300,False,-10.0
2026-04-30,Yordan Alvarez,0.312,220,True,22.0
2026-04-30,Kyle Schwarber,0.284,275,True,27.5
